1439384606,20001459193,10002536@N02,Sun_Aug_16_14:13:23_CEST_2015,Wed_Aug_12_15:03:26_CEST_2015,45.43428,12.338354,Torre_dell'orologio,45.4346,12.3389
1439384707,20613287322,10002536@N02,Sun_Aug_16_14:13:23_CEST_2015,Wed_Aug_12_15:05:07_CEST_2015,45.433937,12.33726,Museo_Correr,45.4336,12.3372
1439386468,20622361395,10002536@N02,Sun_Aug_16_14:13:23_CEST_2015,Wed_Aug_12_15:34:28_CEST_2015,45.436584,12.337882,Chiesa_Santa_Maria_della_Fava,_45.437006,_12.337910
1439387346,20435665809,10002536@N02,Sun_Aug_16_14:13:24_CEST_2015,Wed_Aug_12_15:49:06_CEST_2015,45.436584,12.337882,Chiesa_Santa_Maria_della_Fava,_45.437006,_12.337910
1439388148,20435665519,10002536@N02,Sun_Aug_16_14:13:25_CEST_2015,Wed_Aug_12_16:02:28_CEST_2015,45.436584,12.337882,Chiesa_Santa_Maria_della_Fava,_45.437006,_12.337910
1439388284,20434389140,10002536@N02,Sun_Aug_16_14:13:26_CEST_2015,Wed_Aug_12_16:04:44_CEST_2015,45.436584,12.337882,Chiesa_Santa_Maria_della_Fava,_45.437006,_12.337910
1439388978,20001462093,10002536@N02,Sun_Aug_16_14:13:27_CEST_2015,Wed_Aug_12_16:16:18_CEST_2015,45.438213,12.335886,Fontego_dei_Tedeschi,_45.438296,_12.336658
1439395717,20613284712,10002536@N02,Sun_Aug_16_14:13:27_CEST_2015,Wed_Aug_12_18:08:37_CEST_2015,45.432896,12.324836,Chiesa_di_San_Barnaba,45.4331,12.3253
1439396196,20613281712,10002536@N02,Sun_Aug_16_14:13:28_CEST_2015,Wed_Aug_12_18:16:36_CEST_2015,45.432896,12.324836,Chiesa_di_San_Barnaba,45.4331,12.3253
1439398572,20001461093,10002536@N02,Sun_Aug_16_14:13:29_CEST_2015,Wed_Aug_12_18:56:12_CEST_2015,45.432896,12.324836,Chiesa_di_San_Barnaba,45.4331,12.3253
1439399333,20001460833,10002536@N02,Sun_Aug_16_14:13:30_CEST_2015,Wed_Aug_12_19:08:53_CEST_2015,45.432896,12.324836,Chiesa_di_San_Barnaba,45.4331,12.3253
1439399700,20001460313,10002536@N02,Sun_Aug_16_14:13:31_CEST_2015,Wed_Aug_12_19:15:00_CEST_2015,45.431812,12.328891,Gallerie_dell'Accademia,45.4312,12.3280
1439400474,20613282892,10002536@N02,Sun_Aug_16_14:13:31_CEST_2015,Wed_Aug_12_19:27:54_CEST_2015,45.433228,12.333247,Palazzo_Santa_Maria_del_Giglio,_45.432577,_12.332878
1439407371,20434346918,10002536@N02,Sun_Aug_16_14:13:32_CEST_2015,Wed_Aug_12_21:22:51_CEST_2015,45.43392,12.342646,Campo_San_Zaccaria,_45.434682,_12.343147
1440939809,22006175199,100227863@N03,Thu_Oct_15_16:09:52_CEST_2015,Sun_Aug_30_15:03:29_CEST_2015,45.435215,12.333961,Palazzo_Contarini_del_Bovolo,45.4348,12.3345
1440939923,22166880056,100227863@N03,Thu_Oct_15_16:08:36_CEST_2015,Sun_Aug_30_15:05:23_CEST_2015,45.43553,12.33425,Palazzo_Contarini_del_Bovolo,45.4348,12.3345
1440940617,22257203765,100227863@N03,Sun_Oct_18_00:12:58_CEST_2015,Sun_Aug_30_15:16:57_CEST_2015,45.4367,12.33433,Chiesa_di_San_Silvestro_I_Papa,_45.437439,_12.333745
1440940765,22069205440,100227863@N03,Sun_Oct_18_00:14:07_CEST_2015,Sun_Aug_30_15:19:25_CEST_2015,45.436607,12.334119,Chiesa_di_San_Silvestro_I_Papa,_45.437439,_12.333745
1440956212,22069189020,100227863@N03,Sun_Oct_18_00:13:17_CEST_2015,Sun_Aug_30_19:36:52_CEST_2015,45.431656,12.32888,Gallerie_dell'Accademia,45.4312,12.3280
1440960019,22070353749,100227863@N03,Sun_Oct_18_00:13:32_CEST_2015,Sun_Aug_30_20:40:19_CEST_2015,45.430973,12.337127,Punta_della_Dogana_di_Mare,_45.430939,_12.337008
1440962652,22553315961,100227863@N03,Wed_Oct_28_12:20:07_CET_2015,Sun_Aug_30_21:24:12_CEST_2015,45.429455,12.334672,Magazzini_del_Sale,45.4290,12.3336
1440964079,21780042888,100227863@N03,Mon_Oct_05_15:45:18_CEST_2015,Sun_Aug_30_21:47:59_CEST_2015,45.431595,12.328936,Gallerie_dell'Accademia,45.4312,12.3280
1440995692,22516177986,100227863@N03,Wed_Oct_28_12:20:54_CET_2015,Mon_Aug_31_06:34:52_CEST_2015,45.43362,12.341011,Palazzo_Ducale,45.4339,12.3400
1440996476,22757036597,100227863@N03,Fri_Nov_20_18:38:21_CET_2015,Mon_Aug_31_06:47:56_CEST_2015,45.4336,12.341033,Palazzo_Ducale,45.4339,12.3400
1441016381,22288377661,100227863@N03,Sun_Oct_18_18:04:26_CEST_2015,Mon_Aug_31_12:19:41_CEST_2015,45.43543,12.332319,Campo_San_Benedetto,_45.435447,_12.332366
1441016399,21656826503,100227863@N03,Sun_Oct_18_18:03:49_CEST_2015,Mon_Aug_31_12:19:59_CEST_2015,45.43543,12.332319,Campo_San_Benedetto,_45.435447,_12.332366
1441017109,22198971820,100227863@N03,Thu_Oct_22_16:56:46_CEST_2015,Mon_Aug_31_12:31:49_CEST_2015,45.43543,12.332319,Campo_San_Benedetto,_45.435447,_12.332366
1441017720,21656852323,100227863@N03,Sun_Oct_18_18:04:54_CEST_2015,Mon_Aug_31_12:42:00_CEST_2015,45.43543,12.332319,Campo_San_Benedetto,_45.435447,_12.332366
1441018803,22089846760,100227863@N03,Sun_Oct_18_18:05:27_CEST_2015,Mon_Aug_31_13:00:03_CEST_2015,45.43256,12.319227,Chiesa_di_San_Sebastiano,45.4320,12.3200
1441021433,21765920123,100227863@N03,Thu_Oct_22_16:59:04_CEST_2015,Mon_Aug_31_13:43:53_CEST_2015,45.43402,12.323588,Campo_Santa_Margherita,_45.434257,_12.323682
1441031865,21992609533,100227863@N03,Fri_Oct_30_20:29:20_CET_2015,Mon_Aug_31_16:37:45_CEST_2015,45.437756,12.332141,Campo_di_San_Silvestro,_45.437406,_12.333039
1441049643,21992702203,100227863@N03,Fri_Oct_30_20:33:06_CET_2015,Mon_Aug_31_21:34:03_CEST_2015,45.43146,12.328936,Gallerie_dell'Accademia,45.4312,12.3280
1441050004,21991044614,100227863@N03,Fri_Oct_30_20:31:32_CET_2015,Mon_Aug_31_21:40:04_CEST_2015,45.431496,12.328769,Gallerie_dell'Accademia,45.4312,12.3280
1441105969,22731708122,100227863@N03,Tue_Nov_03_13:46:54_CET_2015,Tue_Sep_01_13:12:49_CEST_2015,45.43505,12.331036,Museo_Palazzo_Fortuny,45.4352,12.3321
1441121992,22731882542,100227863@N03,Tue_Nov_03_13:53:52_CET_2015,Tue_Sep_01_17:39:52_CEST_2015,45.434753,12.349805,Arsenale_di_Venezia,_45.434779,_12.349951
1441169614,22574963769,100227863@N03,Thu_Nov_12_17:24:27_CET_2015,Wed_Sep_02_06:53:34_CEST_2015,45.43155,12.328936,Gallerie_dell'Accademia,45.4312,12.3280
1441170097,22566514787,100227863@N03,Fri_Nov_13_14:47:36_CET_2015,Wed_Sep_02_07:01:37_CEST_2015,45.431698,12.329022,Gallerie_dell'Accademia,45.4312,12.3280
1441170721,23068560525,100227863@N03,Mon_Nov_16_19:34:00_CET_2015,Wed_Sep_02_07:12:01_CEST_2015,45.43186,12.328994,Ponte_dell'Accademia,45.4316,12.3290
1441172835,23241619679,100227863@N03,Tue_Dec_08_15:39:56_CET_2015,Wed_Sep_02_07:47:15_CEST_2015,45.429165,12.332802,Magazzini_del_Sale,45.4290,12.3336
1441304679,23591420823,100227863@N03,Wed_Jan_06_23:29:50_CET_2016,Thu_Sep_03_20:24:39_CEST_2015,45.442772,12.32868,Chiesa_di_San_Marcuola,45.4428,12.3287
1443454304,22369553313,100321058@N07,Fri_Nov_13_20:25:31_CET_2015,Mon_Sep_28_17:31:44_CEST_2015,45.434105,12.344411,Monumento_Nazionale_a_Vittorio_Emanuele_II,_45.433921,_12.343493
1443454316,22367981244,100321058@N07,Fri_Nov_13_20:25:31_CET_2015,Mon_Sep_28_17:31:56_CEST_2015,45.434105,12.344411,Monumento_Nazionale_a_Vittorio_Emanuele_II,_45.433921,_12.343493
1443454540,22990747705,100321058@N07,Fri_Nov_13_20:25:31_CET_2015,Mon_Sep_28_17:35:40_CEST_2015,45.434036,12.342561,Campo_San_Zaccaria,_45.434682,_12.343147
1443454552,22964702656,100321058@N07,Fri_Nov_13_20:25:31_CET_2015,Mon_Sep_28_17:35:52_CEST_2015,45.434017,12.342288,Campo_San_Zaccaria,_45.434682,_12.343147
1443454554,23001831711,100321058@N07,Fri_Nov_13_20:25:31_CET_2015,Mon_Sep_28_17:35:54_CEST_2015,45.434017,12.342288,Campo_San_Zaccaria,_45.434682,_12.343147
1443454556,22977297282,100321058@N07,Fri_Nov_13_20:25:31_CET_2015,Mon_Sep_28_17:35:56_CEST_2015,45.434017,12.342288,Campo_San_Zaccaria,_45.434682,_12.343147
1443454570,22572422888,100321058@N07,Fri_Nov_13_20:25:31_CET_2015,Mon_Sep_28_17:36:10_CEST_2015,45.434013,12.342122,Ponte_dei_Sospiri,45.4340,12.3409
1443454642,22802693730,100321058@N07,Fri_Nov_13_20:25:31_CET_2015,Mon_Sep_28_17:37:22_CEST_2015,45.433853,12.342155,Ponte_dei_Sospiri,45.4340,12.3409
1443454997,23001836811,100321058@N07,Fri_Nov_13_20:25:31_CET_2015,Mon_Sep_28_17:43:17_CEST_2015,45.43337,12.341605,Ponte_dei_Sospiri,45.4340,12.3409
1443454998,22598556079,100321058@N07,Fri_Nov_13_20:25:31_CET_2015,Mon_Sep_28_17:43:18_CEST_2015,45.43337,12.341605,Ponte_dei_Sospiri,45.4340,12.3409
1443455048,22977302872,100321058@N07,Fri_Nov_13_20:25:31_CET_2015,Mon_Sep_28_17:44:08_CEST_2015,45.43347,12.34113,Ponte_dei_Sospiri,45.4340,12.3409
1443455056,22598557929,100321058@N07,Fri_Nov_13_20:25:31_CET_2015,Mon_Sep_28_17:44:16_CEST_2015,45.43387,12.341072,Palazzo_Ducale,45.4339,12.3400
1443455067,22964712636,100321058@N07,Fri_Nov_13_20:25:31_CET_2015,Mon_Sep_28_17:44:27_CEST_2015,45.43387,12.341072,Palazzo_Ducale,45.4339,12.3400
1443455082,23001841171,100321058@N07,Fri_Nov_13_20:25:31_CET_2015,Mon_Sep_28_17:44:42_CEST_2015,45.43417,12.340808,Palazzo_Ducale,45.4339,12.3400
1443455095,22572431138,100321058@N07,Fri_Nov_13_20:25:31_CET_2015,Mon_Sep_28_17:44:55_CEST_2015,45.43417,12.340808,Palazzo_Ducale,45.4339,12.3400
